EdgeIdx,NodeR,NodeL,Ridx,Lidx,Ridx_orig,Lidx_orig,B,A,K,H,CC,actSign
524,296,340,296,37,1764,1290,0.60552,0.129171,-4.789246,1.6,0.667356,1
525,296,350,296,47,1764,1307,0.435207,5.41609,-2.692513,0.9,0.997468,1
526,296,392,296,89,1764,1416,0.698842,11.391697,-2.992408,0.2,0.970683,1
527,297,356,297,53,1765,1315,0.172207,2.125491,-5.052037,0.7,0.982972,1
528,298,340,298,37,1766,1290,0.119503,0.11344,-1.910237,9.9,0,1
529,299,356,299,53,1767,1315,0.166606,1.73712,-4.000383,2.2,0.995702,1
530,300,356,300,53,1768,1315,0.149891,1.455113,-4.534736,0.9,0.982941,1
531,301,308,301,5,1772,1078,0.320214,-0.065635,-10.281587,1,0.615317,-1
532,301,355,301,52,1772,1314,0.263773,0.690308,-4.770715,4.2,0.931612,1
533,302,340,302,37,1781,1290,1.038893,1.898329,-4.062635,1.1,0.989644,1
534,302,385,302,82,1781,1388,6.11383,8.590411,-8.752657,0.4,0.926493,1
535,303,347,303,44,1784,1300,0.552688,1.442284,-4.140724,0.3,0.958225,1
