OdorIdx,ListIdx,MolIdx,CAS,OdorTypeN,OdorDescriptorN
1215,3,1712,1888-90-0,130,291;300;506
1216,3,1721,1901-26-4,82,82;215;57
1217,3,1722,1901-38-8,82,82;482;57
1218,3,1737,1922-67-4,335,335
1219,3,1764,1963-36-6,470,126;201;482;463;84;112;470;517
1220,3,1765,1968-40-7,189,87;257;243;525;215
1221,3,1766,1975-78-6,191,353;143;191;337;531;208
1222,3,1790,2009-74-7,243,353;257;243
1223,3,1796,2021-28-5,201,430;259;266;215;438
1224,3,1807,2035-93-0,201,297;201;243;333;266
1225,3,1808,2035-99-6,215,353;191;464;243;482;531;140;396;215
1226,3,1812,2040-10-0,538,335;430;362;178;538;281
1227,3,1816,2044-73-7,427,135;403;480;320;51;451
1228,3,1817,2046-17-5,215,211;201;259;482
1229,3,1819,2049-96-9,201,17;201;243;337;40
1230,3,1820,2050-01-3,215,30;41;243;482;531;396;188;215
1231,3,1821,2050-08-0,201,257;201;243;482;121;138
1232,3,1822,2050-09-1,215,25;426;215;243
1233,3,1825,2050-87-5,480,356;326;221
1234,3,1831,2051-78-7,215,243;482;531;505;396;215;415
1235,3,1833,2051-96-9,201,191;201;79;215
1236,3,1835,2052-14-4,201,257;363;201;138;321
1237,3,1836,2052-15-5,257,87;257;531;215;451
1238,3,1854,2084-18-6,480,480;75;115;436;319;427;403;105;142;51;451
1239,3,1861,2092-49-1,517,215;517
1240,3,1862,2094-69-1,201,201;257;103
1241,3,1864,2100-17-6,427,427
1242,3,1867,2102-59-2,329,469
1243,3,1872,2109-22-0,243,208;243;180;343;215
1244,3,1873,2110-18-1,243,533;518;181;243;326;154;342;387;208
1245,3,1875,2111-75-3,257,240;163;358;329;257;126;300;130;482;243;137;208;470;415
1246,3,1883,2120-70-9,243,288;243;368;154;266;208;289
1247,3,1884,2120-70-9,243,201;346;243;368;154;208
1248,3,1896,2142-94-1,201,226;257;491;430;201;130;243;482;326;505;215
1249,3,1908,2153-26-6,201,257;170;201;130;538;286;215
1250,3,1909,2153-28-8,40,468;40;434;215
1251,3,1918,2167-14-8,427,75;463;427
1252,3,1920,2173-56-0,215,25;426;215
1253,3,1921,2173-57-1,201,340;362;482;475;337;215
1254,3,1925,2177-77-7,215,41;396;482;57;243;25;322;505;215
1255,3,1929,2179-57-9,11,11;326;354;221
1256,3,1930,2179-58-0,480,11;356;221
1257,3,1931,2179-59-1,480,11;356;221
1258,3,1932,2179-60-4,11,480;221;11;336;404;502;417;354
1259,3,1936,2186-92-7,201,272;186;297;250;201
1260,3,1945,2198-61-0,215,468;105;41;243;482;25;396;215;415
